sitename,date,step,ppfd,vpd,tc,co2,patm,gpp_obs,fapar,LAI
BE-Vie,2014-08-01,2014-08-01T00:00:00Z,1,547,17.7,375.825,95200,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T00:30:00Z,2,399.40000000000003,16.7,383.405,95200,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T01:00:00Z,2,394.3,16.5,381.463,95200,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T01:30:00Z,2,440.2,16.8,377.243,95200,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T02:00:00Z,2,391.8,16.4,375.936,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T02:30:00Z,2,370.8,16.3,376.695,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T03:00:00Z,2,391.8,16.4,377.662,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T03:30:00Z,2,415.7,16.6,377.432,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T04:00:00Z,2,368.40000000000003,16.2,379.075,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T04:30:00Z,3,343.40000000000003,15.9,379.682,95100,0,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T05:00:00Z,21,339,15.7,383.041,95100,0.793993,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T05:30:00Z,82,317.09999999999997,15.5,386.249,95100,3.74801,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T06:00:00Z,199,361.4,15.9,385.941,95000,8.23385,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T07:00:00Z,447,591.2,17.8,377.422,95000,13.428,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T07:30:00Z,652,643.1,18.6,378.123,95000,16.1756,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T08:00:00Z,828,689.9,19.2,380.943,95000,17.9103,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T08:30:00Z,1001,762.3000000000001,19.8,380.746,95000,19.3575,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T09:00:00Z,1134,868.4,20.5,380.098,95000,20.3437,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T09:30:00Z,1031,895.5999999999999,21,377.257,95000,19.7485,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T10:00:00Z,725,903.5999999999999,20.7,377.631,95000,16.9839,0.751915851278072,2.66790270805359
BE-Vie,2014-08-01,2014-08-01T10:30:00Z,556,989,20.9,375.192,95000,15.1625,0.751915851278072,2.66790270805359
