time,gpp,chi,ci,ca
2004-01-01,13.927063,0.68612445,25.773943,37.56453
2004-01-15,15.497148,0.67752509,25.178438,37.16237
2004-01-29,20.69522,0.64355744,23.761033,36.921387
2004-02-12,28.956482,0.66110868,24.647465,37.282016
2004-02-26,33.896686,0.66557486,25.268293,37.964614
2004-03-11,82.468998,0.64840486,24.590813,37.925091
2004-03-25,97.951909,0.62163774,23.207727,37.333201
2004-04-08,115.45658,0.64341187,24.004355,37.307915
2004-04-22,132.55794,0.6752148,24.93786,36.933224
2004-05-06,105.46739,0.71030883,26.367956,37.121819
2004-05-20,125.88548,0.6795693,25.553157,37.601988
2004-06-03,164.09943,0.71252816,26.121285,36.660003
2004-06-17,123.45881,0.68356136,25.021688,36.604889
2004-07-01,156.46374,0.70187929,25.258519,35.986985
2004-07-15,151.54316,0.72843326,27.062552,37.151724
2004-07-29,189.28299,0.68939711,26.132554,37.906387
2004-08-12,123.18365,0.70758416,25.641521,36.238122
2004-08-26,135.47631,0.69827406,25.735415,36.855752
2004-09-09,108.56729,0.67164178,24.428079,36.370696
2004-09-23,62.563922,0.71990185,26.310405,36.547211
2004-10-07,64.322405,0.68662218,24.968767,36.364638
2004-10-21,43.615371,0.71398697,26.479015,37.086132
2004-11-04,19.286429,0.76225627,28.770596,37.743994
2004-11-18,14.924916,0.71970653,26.919446,37.403364
2004-12-02,19.384552,0.69765244,26.956516,38.638889
2004-12-16,12.75664,0.68309021,25.741809,37.684348
2004-12-30,16.357468,0.6617841,24.860124,37.565308
2005-01-13,18.806495,0.66605941,24.929992,37.429082
2005-01-27,19.778174,0.65295511,25.141909,38.504805
2005-02-10,21.612503,0.68911132,25.848853,37.510416
2005-02-24,31.238378,0.6183486,23.760445,38.425647
2005-03-10,78.207994,0.62547811,24.305562,38.859173
2005-03-24,124.95319,0.62125274,24.693041,39.747174
2005-04-07,104.57036,0.6616993,25.976766,39.25766
2005-04-21,141.17716,0.6475785,25.87715,39.959865
2005-05-05,114.48316,0.68377029,26.960516,39.4292
2005-05-19,187.82615,0.67581496,27.58687,40.820153
2005-06-02,150.56112,0.67898597,26.024338,38.328241
2005-06-16,209.87384,0.69499608,26.583542,38.249916
2005-06-30,137.27399,0.71822262,27.416259,38.172369
2005-07-14,150.12008,0.7106963,26.583587,37.404989
2005-07-28,148.74785,0.70867348,26.247817,37.037956
2005-08-11,109.77224,0.73404329,28.672307,39.060785
2005-08-25,143.01781,0.70709729,28.374748,40.128492
2005-09-08,112.55295,0.71804641,27.763245,38.664973
2005-09-22,81.646783,0.72787227,28.493871,39.146802
2005-10-06,90.330198,0.66564949,25.985233,39.037411
2005-10-20,58.259922,0.68930969,26.284142,38.131108
2005-11-03,42.125169,0.70017209,27.251086,38.920554
2005-11-17,14.25219,0.71023867,27.037727,38.068508
2005-12-01,15.204788,0.71818478,27.391265,38.139578
2005-12-15,6.9573781,0.74320153,28.202514,37.94733
2005-12-29,14.584934,0.70044678,27.466504,39.212835
2006-01-12,16.440883,0.65721904,26.226432,39.905162
2006-01-26,19.779625,0.65505875,26.246695,40.067696
2006-02-09,25.00095,0.69382393,26.326961,37.944728
2006-02-23,45.900127,0.63241132,23.462909,37.100711
2006-03-09,42.820494,0.68898542,25.943516,37.654667
2006-03-23,84.852848,0.66285615,24.764997,37.361043
2006-04-06,92.661969,0.64943172,24.683097,38.007224
2006-04-20,133.57746,0.6685802,26.307524,39.348345
2006-05-04,171.27876,0.64495363,25.537681,39.596151
2006-05-18,138.49193,0.6729599,25.179725,37.416382
2006-06-01,188.4306,0.64702328,25.354801,39.186844
2006-06-15,187.82952,0.71381313,29.768297,41.703207
2006-06-29,197.18681,0.70164157,28.243342,40.253234
2006-07-13,193.76263,0.68154714,28.274578,41.485873
2006-07-27,112.86022,0.71161037,27.061013,38.02785
2006-08-10,123.58861,0.71611061,27.433081,38.308441
2006-08-24,105.4538,0.72206314,27.179647,37.641649
2006-09-07,124.38888,0.68217466,26.385265,38.678166
2006-09-21,97.327376,0.70592908,28.202848,39.951389
2006-10-05,77.146733,0.70780973,27.513264,38.870989
2006-10-19,58.58465,0.68140903,25.159714,36.923072
2006-11-02,31.733129,0.69352216,25.943707,37.408621
2006-11-16,33.074479,0.68558192,26.220108,38.245041
2006-11-30,26.834858,0.68968064,26.173646,37.950385
2006-12-14,22.322176,0.67930501,26.640679,39.217552
2006-12-28,19.43701,0.67943709,25.490191,37.516632
2007-01-11,23.849587,0.64718659,24.196027,37.386478
2007-01-25,24.958408,0.69419275,26.15215,37.67275
2007-02-08,35.126594,0.69409676,26.440469,38.093347
2007-02-22,39.718084,0.69000466,26.466954,38.357645
2007-03-08,75.025771,0.66219858,24.897897,37.598838
2007-03-22,126.09256,0.61452286,23.370959,38.031065
2007-04-05,160.94576,0.62854324,23.629528,37.594117
2007-04-19,221.54903,0.61129584,22.995621,37.617826
2007-05-03,183.38663,0.65409587,24.240619,37.059735
2007-05-17,202.0048,0.69055824,28.147206,40.760076
2007-05-31,213.42209,0.69340184,30.667183,44.227144
2007-06-14,190.24845,0.69555702,27.927968,40.151946
2007-06-28,157.22979,0.7019828,26.123988,37.21457
2007-07-12,195.39472,0.69731886,27.253483,39.083244
2007-07-26,165.9887,0.69532266,26.538096,38.166591
2007-08-09,132.90958,0.74202266,29.494979,39.749431
2007-08-23,138.9142,0.72418775,28.155459,38.878674
2007-09-06,99.203593,0.73454233,27.788376,37.830871
2007-09-20,93.891066,0.72108364,28.608419,39.674203
2007-10-04,74.028541,0.71936977,29.229181,40.63165
2007-10-18,32.94593,0.78440081,31.256016,39.846996
2007-11-01,17.923866,0.7825272,30.072044,38.429391
2007-11-15,21.124576,0.73021718,28.787607,39.423349
2007-11-29,19.054556,0.70209844,26.891505,38.301616
2007-12-13,16.565608,0.70284404,29.325259,41.723708
2007-12-27,18.11219,0.67158109,25.839182,38.475148
2008-01-10,28.498379,0.68239401,26.45003,38.760642
2008-01-24,36.362509,0.68027517,26.392475,38.796763
2008-02-07,41.063549,0.6529541,26.388992,40.414773
2008-02-21,58.321048,0.64047328,24.526502,38.294341
2008-03-06,68.285735,0.63555879,24.455745,38.479123
2008-03-20,105.18712,0.62224551,23.899889,38.409098
2008-04-03,90.650405,0.6701923,26.179893,39.063256
2008-04-17,128.49517,0.65304177,25.415007,38.917888
2008-05-01,216.33308,0.64305422,25.779365,40.088945
2008-05-15,160.85105,0.6850164,27.310197,39.867946
2008-05-29,224.90467,0.69024204,27.340158,39.609523
2008-06-12,183.0328,0.67797994,26.33557,38.844173
2008-06-26,206.19455,0.68295446,25.85456,37.85693
2008-07-10,145.98129,0.70645049,26.432508,37.415939
2008-07-24,187.15144,0.69205349,27.823263,40.203919
2008-08-07,150.47038,0.69258272,26.213151,37.848405
2008-08-21,142.71074,0.7016114,27.264259,38.859487
2008-09-04,107.64023,0.69421992,27.211943,39.197871
2008-09-18,79.50379,0.70845183,27.808799,39.252915
2008-10-02,75.226261,0.69763673,27.908823,40.004807
2008-10-16,56.113209,0.6770268,26.589981,39.274636
2008-10-30,39.713572,0.71498515,29.688616,41.523403
2008-11-13,23.121273,0.67320698,26.231957,38.965664
