time,PMod_gpp_smstress,daily_A0,Ls_daily,Ls_daily_lagged
2004-01-01,6.160651,0.04431717,0,0
2004-01-02,5.320123,0.03827076,0,0
2004-01-03,4.741278,0.03410679,5.551115e-17,3.700743e-18
2004-01-04,6.158112,0.0442989,0,3.454027e-18
2004-01-05,5.712078,0.04109033,0,3.223759e-18
2004-01-06,7.185146,0.05168696,5.551115e-17,6.709585e-18
2004-01-07,7.771672,0.05590619,0,6.262279e-18
2004-01-08,11.64846,0.08379422,1.110223e-16,1.324628e-17
2004-01-09,5.398105,0.03883173,0,1.23632e-17
2004-01-10,3.556682,0.0255853,0,1.153898e-17
2004-01-11,11.71057,0.08424099,0,1.076972e-17
2004-01-12,13.15123,0.09460447,0,1.005174e-17
2004-01-13,5.642849,0.04059231,5.551115e-17,1.308236e-17
2004-01-14,7.673644,0.05520102,0,1.221021e-17
2004-01-15,3.885463,0.02795041,0,1.139619e-17
2004-01-16,7.656785,0.05507974,0,1.063645e-17
2004-01-17,10.36358,0.07455129,1.110223e-16,1.732884e-17
2004-01-18,4.355172,0.0313293,0,1.617358e-17
2004-01-19,6.504168,0.04678829,0,1.509534e-17
2004-01-20,2.239324,0.01610877,0,1.408899e-17
2004-01-21,3.199702,0.02301733,0,1.314972e-17
2004-01-22,5.014401,0.03607152,0,1.227307e-17
2004-01-23,6.266313,0.04507726,0,1.145487e-17
2004-01-24,7.395133,0.05319752,5.551115e-17,1.439195e-17
2004-01-25,2.368426,0.01703748,0,1.343249e-17
2004-01-26,12.87347,0.09260643,0,1.253699e-17
2004-01-27,4.525944,0.03255777,0,1.170119e-17
2004-01-28,9.944917,0.07153961,0,1.092111e-17
2004-01-29,11.09319,0.07979982,0,1.019304e-17
2004-01-30,7.672385,0.05519196,0,9.513501e-18
2004-01-31,19.02907,0.1368872,0,8.879268e-18
2004-02-01,15.2611,0.109782,2.220446e-16,2.309029e-17
2004-02-02,8.25174,0.0593596,5.551115e-17,2.525168e-17
2004-02-03,16.35282,0.1176354,0,2.356824e-17
2004-02-04,21.70162,0.1561125,0,2.199702e-17
2004-02-05,10.87281,0.0782145,0,2.053055e-17
2004-02-06,19.57753,0.1408326,4.440892e-16,4.87678e-17
2004-02-07,19.18979,0.1380434,0,4.551661e-17
2004-02-08,10.21744,0.0735,0,4.248217e-17
2004-02-09,9.061361,0.06518368,0,3.965002e-17
2004-02-10,10.63566,0.07650851,0,3.700669e-17
2004-02-11,4.212177,0.03030066,0,3.453958e-17
2004-02-12,11.01564,0.07924193,0,3.223694e-17
2004-02-13,9.408101,0.06767798,0,3.008781e-17
2004-02-14,9.519522,0.06847949,0,2.808196e-17
2004-02-15,13.31744,0.09580016,0,2.620982e-17
2004-02-16,13.04202,0.09381885,0,2.44625e-17
2004-02-17,15.08963,0.1085486,0,2.283167e-17
2004-02-18,10.1525,0.07303289,0,2.130956e-17
2004-02-19,6.30829,0.04537922,5.551115e-17,2.358966e-17
2004-02-20,16.35049,0.1176187,0,2.201702e-17
2004-02-21,20.31619,0.1461463,0,2.054922e-17
2004-02-22,14.83207,0.1066958,1.110223e-16,2.658076e-17
2004-02-23,8.449964,0.06078554,0,2.480871e-17
2004-02-24,18.22464,0.1311005,1.110223e-16,3.055628e-17
2004-02-25,15.86003,0.1140905,3.330669e-16,5.072366e-17
