time,ppfd,co2,pa_f,PMod_A0_daily_total,PMod_sub_A0_daily_total,pre,soilm_stress,PMod_sub_A0_daily_total_penalised,growing_day,growing_day_filtered,annual_lai_max,annual_fapar_max,Ls_daily,Ls_daily_lagged
2004-01-01,51.52275,396.0558,97431.71,1.09825,0.9221656,2.209677,0.5772067,0.5322802,False,False,3.131857,0.791106,5.551115e-17,5.551115e-17
2004-01-02,36.64818,398.1098,97312.08,0.69003,0.79635,2.209677,0.5772067,0.4596586,False,False,3.131857,0.791106,0,5.181041e-17
2004-01-03,35.76078,396.8869,97823.88,0.5732096,0.7097049,2.209677,0.5772067,0.4096464,False,False,3.131857,0.791106,0,4.835638e-17
2004-01-04,63.76177,396.5468,97268.92,1.035465,0.9217856,2.209677,0.5772067,0.5320609,False,False,3.131857,0.791106,0,4.513262e-17
2004-01-05,78.34157,396.7257,97512.9,1.121555,0.8550205,2.209677,0.5772067,0.4935236,False,False,3.131857,0.791106,0,4.212378e-17
2004-01-06,84.5291,389.6931,97894.77,1.55541,1.075519,2.209677,0.5772067,0.6207966,False,False,3.131857,0.791106,0,3.931553e-17
2004-01-07,31.31612,393.0277,97327.79,0.9368534,1.163314,2.209677,0.5772067,0.6714725,True,True,3.131857,0.791106,0,3.669449e-17
2004-01-08,97.86305,388.1246,97207.48,2.777655,1.743617,2.209677,0.5772067,1.006427,True,True,3.131857,0.791106,1.110223e-16,4.164968e-17
2004-01-09,20.98947,387.1659,96170.94,0.577306,0.8080228,2.209677,0.5772067,0.4663962,True,True,3.131857,0.791106,0,3.887304e-17
2004-01-10,12.52602,382.7331,96655.25,0.3550462,0.5323869,2.209677,0.5772067,0.3072973,True,True,3.131857,0.791106,0,3.62815e-17
2004-01-11,71.02048,380.1371,96675.04,2.169281,1.752913,2.209677,0.5772067,1.011793,True,True,3.131857,0.791106,1.110223e-16,4.126422e-17
2004-01-12,82.80105,377.5208,95865.33,2.459745,1.96856,2.209677,0.5772067,1.136266,True,True,3.131857,0.791106,0,3.851327e-17
2004-01-13,18.86405,378.2344,94990.21,0.5647041,0.8446577,2.209677,0.5772067,0.4875421,True,True,3.131857,0.791106,0,3.594572e-17
2004-01-14,31.4653,371.9913,95047.17,0.9209128,1.14864,2.209677,0.5772067,0.6630029,True,True,3.131857,0.791106,0,3.354934e-17
2004-01-15,14.42748,382.1768,95625.79,0.392496,0.5816009,2.209677,0.5772067,0.335704,True,True,3.131857,0.791106,0,3.131272e-17
2004-01-16,31.09258,373.7222,95599.48,0.8670359,1.146117,2.209677,0.5772067,0.6615462,True,True,3.131857,0.791106,0,2.92252e-17
2004-01-17,48.3531,373.8094,95479.04,1.420074,1.551287,2.209677,0.5772067,0.8954132,True,True,3.131857,0.791106,1.110223e-16,3.467834e-17
2004-01-18,19.57252,382.8537,97175.9,0.4721184,0.65191,2.209677,0.5772067,0.3762868,False,False,3.131857,0.791106,0,3.236645e-17
2004-01-19,33.8504,383.3355,96779,0.806082,0.9735854,2.209677,0.5772067,0.5619601,False,False,3.131857,0.791106,0,3.020869e-17
2004-01-20,10.25228,380.3395,96102.71,0.2211123,0.3351964,2.209677,0.5772067,0.1934776,False,False,3.131857,0.791106,0,2.819478e-17
2004-01-21,16.44155,387.5818,97278.19,0.3362148,0.4789518,2.209677,0.5772067,0.2764542,False,False,3.131857,0.791106,0,2.631512e-17
2004-01-22,108.3385,389.1104,97779.21,1.614648,0.7505876,2.209677,0.5772067,0.4332442,False,False,3.131857,0.791106,5.551115e-17,2.826153e-17
