,date,kN,nu,lambda,rho,dr,delta,ru,rv,rw,hs,hn,tau_o,tau,PPFD,sf,Rnl,Ho,Hn,Hnn,s,lv,Patm,pw,gamma,Econ,Cn,rx,hi,EET,PET,AET
0,2008-01-01,366.0,357.348335,280.348335,0.983317,1.034219,-23.036535,-0.275881,0.652647,459.276799,64.994094,56.148805,0.785706,0.572438,12.211241,0.576599,40.263681,10.78026,2.346129,-2.306903,23.565031,2.526435,0.816609,998.335029,52.188621,0.123333,0.028452,0.000444,49.464068,0.607358,0.607358,0.087121
1,2008-01-02,366.0,358.36547,281.36547,0.983307,1.034242,-22.953748,-0.274944,0.653047,414.291433,65.101211,56.560946,0.785706,0.496022,10.635597,0.440749,35.18067,10.83575,2.161453,-2.011372,29.666731,2.517153,0.816609,999.103712,52.381061,0.143775,0.028918,0.000518,48.462263,0.603657,0.603657,0.110027
2,2008-01-03,366.0,359.382621,282.382621,0.983301,1.034254,-22.863367,-0.273919,0.653483,225.724799,65.217898,51.016394,0.785706,0.434096,9.359763,0.338018,30.966118,10.896264,0.881021,-1.80892,37.089471,2.508149,0.816609,999.621031,52.569098,0.164995,0.029846,0.000594,42.462974,0.262204,0.262204,0.059434
3,2008-01-04,366.0,0.399779,283.399779,0.9833,1.034255,-22.765437,-0.272809,0.653953,107.104075,65.344033,55.206465,0.785706,0.21116,4.58031,0.043183,10.747941,10.961785,0.52279,-0.617221,38.470662,2.506675,0.816609,999.684909,52.600019,0.168574,0.010405,0.000607,45.608431,0.15708,0.15708,0.036916
4,2008-01-05,366.0,1.416933,284.416933,0.983305,1.034245,-22.660006,-0.271612,0.654456,121.931437,65.479485,55.189796,0.785706,0.246299,5.376885,0.079134,12.435909,11.0323,0.595118,-0.713787,31.983483,2.514121,0.816609,999.302552,52.444222,0.150785,0.010763,0.000543,46.848111,0.169982,0.169982,0.033373
5,2008-01-06,366.0,2.434073,285.434073,0.983315,1.034225,-22.547125,-0.27033,0.654993,349.775542,65.624117,55.579135,0.785706,0.498311,10.952914,0.444678,34.948482,11.107788,1.74263,-2.001552,28.563809,2.51868,0.816609,998.993908,52.349298,0.140301,0.028082,0.000505,47.881961,0.481007,0.481007,0.084228
6,2008-01-07,366.0,3.451187,286.451187,0.983329,1.034194,-22.426849,-0.268962,0.655563,201.594128,65.777782,53.101036,0.785706,0.413772,9.160619,0.305898,25.127007,11.188232,0.884103,-1.452411,25.465127,2.523309,0.816609,998.621183,52.253266,0.130032,0.018886,0.000468,46.433408,0.235086,0.235086,0.03649
7,2008-01-08,366.0,4.468265,287.468265,0.983349,1.034152,-22.299237,-0.26751,0.656164,156.047349,65.940328,53.378319,0.785706,0.342951,7.650627,0.200929,19.335903,11.273608,0.695128,-1.115662,27.49654,2.520215,0.816609,998.876988,52.317411,0.136852,0.015268,0.000493,46.247538,0.189566,0.189566,0.031874
8,2008-01-09,366.0,5.485297,288.485297,0.983374,1.0341,-22.16435,-0.265974,0.656796,271.938998,66.111594,57.187122,0.785706,0.4029,9.059953,0.28906,24.458725,11.363895,1.471539,-1.388725,26.46396,2.521758,0.816609,998.752798,52.285401,0.133428,0.018529,0.00048,49.707676,0.396334,0.396334,0.06414
9,2008-01-10,366.0,6.502273,289.502273,0.983404,1.034037,-22.022254,-0.264354,0.657457,195.94243,66.291415,49.776005,0.785706,0.452827,10.267947,0.368343,31.393385,11.459065,0.71745,-1.834153,31.983483,2.514121,0.816609,999.302552,52.444222,0.150785,0.027656,0.000543,42.352856,0.204923,0.204923,0.04011
